"Respondent code","Country","Early marriage rate (response type)","Estimate/guess -  Early marriage rate","Correct answer - Early marriage rate in 2015","Share of seats held by women (response type)","Estimate/guess - Share of seats held by women in parliament in 2016","Correct answer - Share of seats held by women","Female labour force participation rate (response type)","Estimate/guess - Female labour force participation rate for women in 2015","Correct answer - Female labour force participation rate","Some secondary education (response type)","Estimate/guess - Female population with at least some secondary education in 2015","Correct answer - Some secondary education","Maternal mortality rate in 2015 (response type)","Estimate/ guess - Maternal mortality rate in 2015","Correct answer - Maternal mortality rate in 2015"
203,"Kenya",1,50,26,1,50,21,1,67,62,1,50,28,1,100,510
204,"Kenya",2,40,26,2,50,21,2,80,62,2,60,28,2,10000,510
205,"Kenya",1,55,26,2,25,21,2,50,62,2,40,28,2,20,510
206,"Kenya",2,46,26,2,22,21,3,40,62,1,49,28,1,510,510
207,"Kenya",2,60,26,2,19,21,2,70,62,2,39,28,2,NA,510
208,"Kenya",2,NA,26,2,NA,21,2,NA,62,2,NA,28,2,NA,510
209,"Kenya",2,40,26,2,20,21,2,30,62,2,60,28,2,10000,510
210,"Kenya",2,10,26,2,47,21,2,50,62,3,48,28,2,44,510
211,"Kenya",2,20,26,2,90,21,2,51,62,2,48,28,2,NA,510
212,"Kenya",2,NA,26,1,17,21,1,55,62,1,85,28,1,12,510
213,"Kenya",2,23,26,2,NA,21,2,40,62,2,60,28,2,20,510
214,"Kenya",3,10,26,2,6,21,3,48,62,2,70,28,3,NA,510
215,"Kenya",4,NA,26,4,NA,21,2,NA,62,2,NA,28,2,NA,510
216,"Kenya",2,NA,26,2,NA,21,2,NA,62,2,NA,28,2,NA,510
217,"Kenya",2,NA,26,2,NA,21,2,NA,62,2,NA,28,2,NA,510
218,"Kenya",2,NA,26,2,NA,21,2,NA,62,2,NA,28,2,NA,510
219,"Kenya",1,10,26,1,66,21,2,40,62,1,40,28,2,9,510
220,"Kenya",4,NA,26,4,NA,21,4,NA,62,2,NA,28,4,NA,510
221,"Kenya",2,30,26,2,24,21,2,25,62,2,70,28,2,45,510
222,"Kenya",2,NA,26,2,NA,21,2,NA,62,2,NA,28,2,NA,510
401,"Indonesia",1,2,22,1,30,17,1,45,51,1,60,43,2,NA,126
402,"Indonesia",2,NA,22,1,17,17,1,50,51,2,NA,43,1,1,126
403,"Indonesia",2,NA,22,2,NA,17,2,NA,51,2,NA,43,2,NA,126
404,"Indonesia",2,NA,22,1,20,17,3,NA,51,3,NA,43,2,NA,126
405,"Indonesia",3,NA,22,1,30,17,1,70,51,1,70,43,2,NA,126
406,"Indonesia",3,NA,22,1,30,17,3,NA,51,3,NA,43,1,30,126
407,"Indonesia",2,1,22,1,17,17,1,50,51,1,10,43,2,3,126
408,"Indonesia",3,NA,22,1,30,17,2,NA,51,3,NA,43,2,NA,126
409,"Indonesia",2,NA,22,1,17,17,1,34,51,2,NA,43,2,NA,126
410,"Indonesia",2,NA,22,2,30,17,1,70,51,2,NA,43,2,NA,126
411,"Indonesia",2,NA,22,1,10,17,2,NA,51,2,NA,43,2,NA,126
412,"Indonesia",1,10,22,1,20,17,1,40,51,1,40,43,1,10,126
413,"Indonesia",1,30,22,1,16,17,1,40,51,2,NA,43,1,4,126
414,"Indonesia",2,NA,22,1,13,17,2,NA,51,2,NA,43,2,NA,126
415,"Indonesia",2,NA,22,1,17,17,2,NA,51,2,NA,43,1,15,126
416,"Indonesia",2,NA,22,1,30,17,2,NA,51,2,NA,43,2,NA,126
417,"Indonesia",2,25,22,1,20,17,1,50,51,1,70,43,2,60,126
418,"Indonesia",1,10,22,1,30,17,1,60,51,1,80,43,1,3,126
419,"Indonesia",3,NA,22,1,30,17,1,50,51,3,NA,43,2,NA,126
420,"Indonesia",1,10,22,1,30,17,2,NA,51,2,NA,43,1,10,126
421,"Indonesia",3,NA,22,1,10,17,3,NA,51,2,NA,43,2,NA,126
422,"Indonesia",1,5,22,1,30,17,1,30,51,2,NA,43,2,NA,126
501,"Senegal",2,30,32,1,50,43,3,20,45,2,NA,10,1,2,315
502,"Senegal",2,40,32,1,50,43,2,NA,45,2,NA,10,2,NA,315
503,"Senegal",2,80,32,1,45,43,3,NA,45,1,68,10,1,3,315
504,"Senegal",3,NA,32,1,50,43,1,25,45,1,55,10,1,10,315
505,"Senegal",2,NA,32,1,50,43,1,25,45,1,40,10,2,NA,315
506,"Senegal",2,NA,32,1,50,43,1,15,45,2,NA,10,1,10,315
507,"Senegal",2,NA,32,1,50,43,2,NA,45,1,50,10,2,NA,315
508,"Senegal",1,37,32,1,40,43,3,NA,45,1,25,10,3,NA,315
509,"Senegal",2,NA,32,1,50,43,1,26,45,2,NA,10,2,NA,315
510,"Senegal",3,NA,32,1,50,43,1,26,45,3,NA,10,3,NA,315
511,"Senegal",2,NA,32,1,50,43,2,NA,45,2,NA,10,2,NA,315
512,"Senegal",2,NA,32,1,49,43,2,NA,45,2,NA,10,2,NA,315
513,"Senegal",3,NA,32,1,50,43,2,NA,45,2,NA,10,2,NA,315
514,"Senegal",2,NA,32,1,50,43,2,NA,45,2,NA,10,2,NA,315
515,"Senegal",2,NA,32,1,50,43,2,NA,45,2,NA,10,2,NA,315
516,"Senegal",3,NA,32,1,46,43,3,NA,45,3,NA,10,3,NA,315
517,"Senegal",2,NA,32,1,50,43,1,22,45,2,NA,10,2,NA,315
518,"Senegal",3,NA,32,1,46,43,3,NA,45,3,NA,10,3,NA,315
519,"Senegal",2,NA,32,1,50,43,3,NA,45,2,NA,10,1,2,315
520,"Senegal",2,NA,32,1,50,43,2,NA,45,2,NA,10,2,NA,315
521,"Senegal",3,NA,32,1,50,43,3,NA,45,1,24,10,3,NA,315
522,"Senegal",2,NA,32,1,47,43,2,22,45,2,NA,10,2,NA,315
