X,Y,OBJECTID,Snow_Emerg,Snow_Eme_1,Snow_Eme_2,Citation_N,Date,Time,Address,Latitude,Longitude,Ordinance_,Ordinance1,Ward,Neighborho,Community,Day,Tow_Zone
-93.3143110003523,44.9233840003714,11,Victory 1,2022-2023,4,271123316203,2023/02/22 00:00:00+00,11:52:00,2711 44TH ST W,44.923384,-93.314311,478.1000(a),Snow emergency parking restrictions - snow emergency route,13,Linden Hills,Southwest,1,5
-93.2450519999498,44.9466019999824,12,Victory 1,2022-2023,4,271123314797,2023/02/22 00:00:00+00,11:51:00,1830 31ST ST E,44.946602,-93.245052,478.1000(a),Snow emergency parking restrictions - snow emergency route,9,Corcoran,Powderhorn,1,6
-93.2792939998182,44.9674299999946,13,Victory 1,2022-2023,4,271123316875,2023/02/22 00:00:00+00,11:51:00,1500 LASALLE AVE,44.96743,-93.279294,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Loring Park,Central,1,3
-93.3126439999206,44.9232660003257,14,Victory 1,2022-2023,4,271123316202,2023/02/22 00:00:00+00,11:49:00,2621 44TH ST W,44.923266,-93.312644,478.1000(a),Snow emergency parking restrictions - snow emergency route,13,Linden Hills,Southwest,1,5
-93.2956379998938,45.0054050002406,15,Victory 1,2022-2023,4,271123340468,2023/02/22 00:00:00+00,11:49:00,3000 FREMONT AVE N,45.005405,-93.295638,478.1000(a),Snow emergency parking restrictions - snow emergency route,5,Jordan,Near North,1,1
-93.2793169999795,44.9675199996483,16,Victory 1,2022-2023,4,271123316874,2023/02/22 00:00:00+00,11:49:00,1500 LASALLE AVE,44.96752,-93.279317,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Loring Park,Central,1,3
-93.2793279995875,44.9675370004323,17,Victory 1,2022-2023,4,271123316873,2023/02/22 00:00:00+00,11:46:00,1500 LASALLE AVE,44.967537,-93.279328,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Loring Park,Central,1,3
-93.2956110004472,45.012034000169,18,Victory 1,2022-2023,4,271123340467,2023/02/22 00:00:00+00,11:45:00,3000 FREMONT AVE N,45.012034,-93.295611,478.1000(a),Snow emergency parking restrictions - snow emergency route,5,Jordan,Near North,1,1
-93.3123639995988,44.923228000372,19,Victory 1,2022-2023,4,271123316201,2023/02/22 00:00:00+00,11:43:00,2607 44TH ST W,44.923228,-93.312364,478.1000(a),Snow emergency parking restrictions - snow emergency route,13,Linden Hills,Southwest,1,5
-93.3122400001758,44.9232030001184,20,Victory 1,2022-2023,4,271123313073,2023/02/22 00:00:00+00,11:43:00,2607 44TH ST W,44.923203,-93.31224,478.1000(a),Snow emergency parking restrictions - snow emergency route,13,Linden Hills,Southwest,1,5
-93.2793050003255,44.9679159999235,21,Victory 1,2022-2023,4,271123316872,2023/02/22 00:00:00+00,11:43:00,1400 LASALLE AVE,44.967916,-93.279305,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Loring Park,Central,1,3
-93.2793299996797,44.9681459997382,22,Victory 1,2022-2023,4,271123316871,2023/02/22 00:00:00+00,11:41:00,1400 LASALLE AVE,44.968146,-93.27933,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Loring Park,Central,1,3
-93.2685269997212,44.9681259997151,23,Victory 1,2022-2023,4,271123338226,2023/02/22 00:00:00+00,11:40:00,506 15TH ST E,44.968126,-93.268527,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Elliot Park,Central,1,3
-93.2682630001373,44.9681309999457,24,Victory 1,2022-2023,4,271123344602,2023/02/22 00:00:00+00,11:40:00,522 15TH ST E,44.968131,-93.268263,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Elliot Park,Central,1,3
-93.2793299996797,44.9690890000574,25,Victory 1,2022-2023,4,271123316870,2023/02/22 00:00:00+00,11:38:00,1300 LASALLE AVE,44.969089,-93.27933,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Loring Park,Central,1,3
-93.2682090003451,44.9681299998996,26,Victory 1,2022-2023,4,271123344601,2023/02/22 00:00:00+00,11:38:00,524 15TH ST E,44.96813,-93.268209,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Elliot Park,Central,1,3
-93.2687439998357,44.9681319999918,27,Victory 1,2022-2023,4,271123338225,2023/02/22 00:00:00+00,11:37:00,502 15TH ST E,44.968132,-93.268744,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Elliot Park,Central,1,3
-93.2956329996632,45.0141030002533,28,Victory 1,2022-2023,4,271123340465,2023/02/22 00:00:00+00,11:36:00,3200 FREMONT AVE N,45.014103,-93.295633,478.1000(a),Snow emergency parking restrictions - snow emergency route,4,Folwell,Camden,1,1
-93.2793739999101,44.969167000057,29,Victory 1,2022-2023,4,271123316869,2023/02/22 00:00:00+00,11:37:00,1300 LASALLE AVE,44.969167,-93.279374,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Loring Park,Central,1,3
-93.2681739996303,44.9681479998304,30,Victory 1,2022-2023,4,271123344600,2023/02/22 00:00:00+00,11:36:00,526 15TH ST E,44.968148,-93.268174,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Elliot Park,Central,1,3
-93.2688540004117,44.9681499999226,31,Victory 1,2022-2023,4,271123338224,2023/02/22 00:00:00+00,11:35:00,500 15TH ST E,44.96815,-93.268854,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Elliot Park,Central,1,3
-93.2394939999481,44.9466060001668,32,Victory 1,2022-2023,4,271123314795,2023/02/22 00:00:00+00,11:33:00,2250 31ST ST E,44.946606,-93.239494,478.1000(a),Snow emergency parking restrictions - snow emergency route,9,Corcoran,Powderhorn,1,6
-93.2793830003251,44.9693090003101,33,Victory 1,2022-2023,4,271123316868,2023/02/22 00:00:00+00,11:32:00,1300 LASALLE AVE,44.969309,-93.279383,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Loring Park,Central,1,3
-93.2673500003023,44.9681269997613,34,Victory 1,2022-2023,4,271123344599,2023/02/22 00:00:00+00,11:31:00,602 15TH ST E,44.968127,-93.26735,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Elliot Park,Central,1,3
-93.2393030001333,44.9465609998903,35,Victory 1,2022-2023,4,271123310939,2023/02/22 00:00:00+00,11:30:00,2240 31ST ST E,44.946561,-93.239303,478.1000(a),Snow emergency parking restrictions - snow emergency route,9,Corcoran,Powderhorn,1,6
-93.2392929996722,44.946598999844,36,Victory 1,2022-2023,4,271123314794,2023/02/22 00:00:00+00,11:30:00,2250 31ST ST E,44.946599,-93.239293,478.1000(a),Snow emergency parking restrictions - snow emergency route,9,Corcoran,Powderhorn,1,6
-93.2673710003713,44.9681010003609,37,Victory 1,2022-2023,4,271123344598,2023/02/22 00:00:00+00,11:30:00,600 15TH ST E,44.968101,-93.267371,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Elliot Park,Central,1,3
-93.2668260004195,44.9680580001766,38,Victory 1,2022-2023,4,271123338223,2023/02/22 00:00:00+00,11:29:00,617 15TH ST E,44.968058,-93.266826,478.1000(a),Snow emergency parking restrictions - snow emergency route,6,Elliot Park,Central,1,3
-93.2792959999104,44.9697010004009,39,Victory 1,2022-2023,4,271123316867,2023/02/22 00:00:00+00,11:29:00,1300 LASALLE AVE,44.969701,-93.279296,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Loring Park,Central,1,3
-93.3129909997348,44.9326539997823,40,Victory 1,2022-2023,4,271123316200,2023/02/22 00:00:00+00,11:28:00,3840 SHERIDAN AVE S!L,44.932654,-93.312991,478.1000(a),Snow emergency parking restrictions - snow emergency route,13,Linden Hills,Southwest,1,5
-93.2671970004412,44.9681069997383,41,Victory 1,2022-2023,4,271123344597,2023/02/22 00:00:00+00,11:28:00,604 15TH ST E,44.968107,-93.267197,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Elliot Park,Central,1,3
-93.2391229999265,44.9466030000285,42,Victory 1,2022-2023,4,271123314793,2023/02/22 00:00:00+00,11:26:00,2250 31ST ST E,44.946603,-93.239123,478.1000(a),Snow emergency parking restrictions - snow emergency route,9,Corcoran,Powderhorn,1,6
-93.2792929997721,44.9696990003086,43,Victory 1,2022-2023,4,271123316866,2023/02/22 00:00:00+00,11:27:00,1300 LASALLE AVE,44.969699,-93.279293,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Loring Park,Central,1,3
-93.2667369999126,44.9680600002689,44,Victory 1,2022-2023,4,271123338222,2023/02/22 00:00:00+00,11:27:00,621 15TH ST E,44.96806,-93.266737,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Elliot Park,Central,1,3
-93.2916710004163,45.0367660003507,45,Victory 1,2022-2023,4,271123340464,2023/02/22 00:00:00+00,11:25:00,900 45TH AVE N,45.036766,-93.291671,478.1000(a),Snow emergency parking restrictions - snow emergency route,4,Lind - Bohanon,Camden,1,1
-93.2672100001413,44.9681350001302,46,Victory 1,2022-2023,4,271123344596,2023/02/22 00:00:00+00,11:24:00,606 15TH ST E,44.968135,-93.26721,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Elliot Park,Central,1,3
-93.3130240003573,44.9314320000868,47,Victory 1,2022-2023,4,271123316199,2023/02/22 00:00:00+00,11:25:00,3923 SHERIDAN AVE S!L,44.931432,-93.313024,478.1000(a),Snow emergency parking restrictions - snow emergency route,13,Linden Hills,Southwest,1,5
-93.2667769999586,44.9680950000842,48,Victory 1,2022-2023,4,271123344595,2023/02/22 00:00:00+00,11:22:00,622 15TH ST E,44.968095,-93.266777,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Elliot Park,Central,1,3
-93.2661550000532,44.9680879997615,49,Victory 1,2022-2023,4,271123338221,2023/02/22 00:00:00+00,11:22:00,635 15TH ST E,44.968088,-93.266155,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Elliot Park,Central,1,3
-93.2766140003358,44.9659680000232,50,Victory 1,2022-2023,4,271123316865,2023/02/22 00:00:00+00,11:22:00,1700 1ST AVE S,44.965968,-93.276614,478.1000(a),Snow emergency parking restrictions - snow emergency route,6,Steven's Square - Loring Heights,Central,1,3
-93.2917779999547,45.0367329997282,51,Victory 1,2022-2023,4,271123340463,2023/02/22 00:00:00+00,11:21:00,900 45TH AVE N,45.036733,-93.291778,478.1000(a),Snow emergency parking restrictions - snow emergency route,4,Lind - Bohanon,Camden,1,1
-93.2665819999593,44.9681079997844,52,Victory 1,2022-2023,4,271123344594,2023/02/22 00:00:00+00,11:21:00,624 15TH ST E,44.968108,-93.266582,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Elliot Park,Central,1,3
-93.2766280000821,44.9659669999771,53,Victory 1,2022-2023,4,271123316864,2023/02/22 00:00:00+00,11:19:00,1700 1ST AVE S,44.965967,-93.276628,478.1000(a),Snow emergency parking restrictions - snow emergency route,6,Steven's Square - Loring Heights,Central,1,3
-93.2664140003058,44.9681200003378,54,Victory 1,2022-2023,4,271123344593,2023/02/22 00:00:00+00,11:19:00,634 15TH ST E,44.96812,-93.266414,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Elliot Park,Central,1,3
-93.2660400001458,44.9680849996231,55,Victory 1,2022-2023,4,271123338220,2023/02/22 00:00:00+00,11:17:00,639 15TH ST E,44.968085,-93.26604,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Elliot Park,Central,1,3
-93.259782000239,44.9609190001118,56,Victory 1,2022-2023,4,271123311326,2023/02/22 00:00:00+00,11:18:00,2201 10TH AVE S,44.960919,-93.259782,478.1000(a),Snow emergency parking restrictions - snow emergency route,6,Ventura Village,Phillips,1,3
-93.2663619997065,44.9681140000611,57,Victory 1,2022-2023,4,271123344592,2023/02/22 00:00:00+00,11:17:00,640 15TH ST E,44.968114,-93.266362,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Elliot Park,Central,1,3
-93.2596779999397,44.9607860002737,58,Victory 1,2022-2023,4,271123341290,2023/02/22 00:00:00+00,11:17:00,2200 10TH AVE S,44.960786,-93.259678,478.1000(a),Snow emergency parking restrictions - snow emergency route,6,Ventura Village,Phillips,1,3
-93.2596899995938,44.9608689996047,59,Victory 1,2022-2023,4,271123311325,2023/02/22 00:00:00+00,11:15:00,2211 10TH AVE S,44.960869,-93.25969,478.1000(a),Snow emergency parking restrictions - snow emergency route,6,Ventura Village,Phillips,1,3
-93.2766439999206,44.9657449996321,60,Victory 1,2022-2023,4,271123316863,2023/02/22 00:00:00+00,11:15:00,1700 1ST AVE S,44.965745,-93.276644,478.1000(a),Snow emergency parking restrictions - snow emergency route,6,Steven's Square - Loring Heights,Central,1,3
-93.2661309998457,44.9681269997613,61,Victory 1,2022-2023,4,271123344591,2023/02/22 00:00:00+00,11:15:00,640 15TH ST E,44.968127,-93.266131,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Elliot Park,Central,1,3
-93.2766449999667,44.965743999586,62,Victory 1,2022-2023,4,271123316862,2023/02/22 00:00:00+00,11:14:00,1700 1ST AVE S,44.965744,-93.276645,478.1000(a),Snow emergency parking restrictions - snow emergency route,6,Steven's Square - Loring Heights,Central,1,3
-93.2597220001701,44.9606759996977,63,Victory 1,2022-2023,4,271123341289,2023/02/22 00:00:00+00,11:13:00,2202 10TH AVE S,44.960676,-93.259722,478.1000(a),Snow emergency parking restrictions - snow emergency route,6,Ventura Village,Phillips,1,3
-93.2957759999624,45.0290109997579,64,Victory 1,2022-2023,4,271123340462,2023/02/22 00:00:00+00,11:13:00,4000 FREMONT AVE N,45.029011,-93.295776,478.1000(a),Snow emergency parking restrictions - snow emergency route,4,Webber - Camden,Camden,1,1
-93.2661780002145,44.9681109999228,65,Victory 1,2022-2023,4,271123344590,2023/02/22 00:00:00+00,11:13:00,638 15TH ST E,44.968111,-93.266178,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Elliot Park,Central,1,3
-93.2597169999395,44.9608729997892,66,Victory 1,2022-2023,4,271123311324,2023/02/22 00:00:00+00,11:13:00,2215 10TH AVE S,44.960873,-93.259717,478.1000(a),Snow emergency parking restrictions - snow emergency route,6,Ventura Village,Phillips,1,3
-93.2766449999667,44.965743999586,67,Victory 1,2022-2023,4,271123316861,2023/02/22 00:00:00+00,11:12:00,1700 1ST AVE S,44.965744,-93.276645,478.1000(a),Snow emergency parking restrictions - snow emergency route,6,Steven's Square - Loring Heights,Central,1,3
-93.265687000055,44.9680580001766,68,Victory 1,2022-2023,4,271123338219,2023/02/22 00:00:00+00,11:11:00,647 15TH ST E,44.968058,-93.265687,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Elliot Park,Central,1,3
-93.2596610000551,44.9604649998599,69,Victory 1,2022-2023,4,271123341288,2023/02/22 00:00:00+00,11:11:00,2222 10TH AVE S,44.960465,-93.259661,478.1000(a),Snow emergency parking restrictions - snow emergency route,6,Ventura Village,Phillips,1,3
-93.2658420000083,44.968124999669,70,Victory 1,2022-2023,4,271123344589,2023/02/22 00:00:00+00,11:10:00,646 15TH ST E,44.968125,-93.265842,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Elliot Park,Central,1,3
-93.2958220002851,45.0283420003831,71,Victory 1,2022-2023,4,271123340461,2023/02/22 00:00:00+00,11:09:00,4000 FREMONT AVE N,45.028342,-93.295822,478.1000(a),Snow emergency parking restrictions - snow emergency route,4,Webber - Camden,Camden,1,1
-93.2597699996857,44.9605880001362,72,Victory 1,2022-2023,4,271123311323,2023/02/22 00:00:00+00,11:10:00,2219 10TH AVE S,44.960588,-93.25977,478.1000(a),Snow emergency parking restrictions - snow emergency route,6,Ventura Village,Phillips,1,3
-93.2766019997824,44.9656509997939,73,Victory 1,2022-2023,4,271123316860,2023/02/22 00:00:00+00,11:09:00,1700 1ST AVE S,44.965651,-93.276602,478.1000(a),Snow emergency parking restrictions - snow emergency route,6,Steven's Square - Loring Heights,Central,1,3
-93.2656950004239,44.9681190002917,74,Victory 1,2022-2023,4,271123344588,2023/02/22 00:00:00+00,11:09:00,648 15TH ST E,44.968119,-93.265695,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Elliot Park,Central,1,3
-93.2596800000319,44.9604439997908,75,Victory 1,2022-2023,4,271123341287,2023/02/22 00:00:00+00,11:09:00,2223 10TH AVE S,44.960444,-93.25968,478.1000(a),Snow emergency parking restrictions - snow emergency route,6,Ventura Village,Phillips,1,3
-93.259721000124,44.9602849996531,76,Victory 1,2022-2023,4,271123341286,2023/02/22 00:00:00+00,11:06:00,2235 10TH AVE S,44.960285,-93.259721,478.1000(a),Snow emergency parking restrictions - snow emergency route,6,Ventura Village,Phillips,1,3
-93.2957509997088,45.0270320002267,77,Victory 1,2022-2023,4,271123340460,2023/02/22 00:00:00+00,11:05:00,3900 FREMONT AVE N,45.027032,-93.295751,478.1000(a),Snow emergency parking restrictions - snow emergency route,4,Webber - Camden,Camden,1,1
-93.2653909998947,44.9680630004072,78,Victory 1,2022-2023,4,271123338218,2023/02/22 00:00:00+00,11:05:00,655 15TH ST E,44.968063,-93.265391,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Elliot Park,Central,1,3
-93.2597780000546,44.9603119999988,79,Victory 1,2022-2023,4,271123311322,2023/02/22 00:00:00+00,11:04:00,2229 10TH AVE S,44.960312,-93.259778,478.1000(a),Snow emergency parking restrictions - snow emergency route,6,Ventura Village,Phillips,1,3
-93.3150640000036,44.9111920002107,80,Victory 1,2022-2023,4,271123316198,2023/02/22 00:00:00+00,11:04:00,5041 UPTON AVE S,44.911192,-93.315064,478.1000(a),Snow emergency parking restrictions - snow emergency route,13,Fulton,Southwest,1,5
-93.2766059999669,44.9655090004401,81,Victory 1,2022-2023,4,271123316859,2023/02/22 00:00:00+00,11:03:00,1700 1ST AVE S,44.965509,-93.276606,478.1000(a),Snow emergency parking restrictions - snow emergency route,6,Steven's Square - Loring Heights,Central,1,3
-93.2653240004022,44.9680610003149,82,Victory 1,2022-2023,4,271123338217,2023/02/22 00:00:00+00,11:03:00,657 15TH ST E,44.968061,-93.265324,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Elliot Park,Central,1,3
-93.2956660002856,45.0269530001809,83,Victory 1,2022-2023,4,271123340459,2023/02/22 00:00:00+00,11:01:00,3900 FREMONT AVE N,45.026953,-93.295666,478.1000(a),Snow emergency parking restrictions - snow emergency route,4,Webber - Camden,Camden,1,1
-93.2524979997828,44.9497339996244,84,Victory 1,2022-2023,4,271123310938,2023/02/22 00:00:00+00,11:01:00,2909 BLOOMINGTON AVE,44.949734,-93.252498,478.1000(a),Snow emergency parking restrictions - snow emergency route,9,Midtown Phillips,Phillips,1,3
-93.2524670001519,44.9497640001086,85,Victory 1,2022-2023,4,271123314792,2023/02/22 00:00:00+00,11:01:00,2911 BLOOMINGTON AVE,44.949764,-93.252467,478.1000(a),Snow emergency parking restrictions - snow emergency route,9,East Phillips,Phillips,1,3
-93.2645839995519,44.9681099998767,86,Victory 1,2022-2023,4,271123344587,2023/02/22 00:00:00+00,11:01:00,710 15TH ST E,44.96811,-93.264584,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Elliot Park,Central,1,3
-93.2754089996256,44.9403329995683,87,Victory 1,2022-2023,4,271123339795,2023/02/22 00:00:00+00,11:00:00,3432 STEVENS AVE S,44.940333,-93.275409,478.1000(a),Snow emergency parking restrictions - snow emergency route,8,Lyndale,Powderhorn,1,5
-93.2766209997593,44.9654250001637,88,Victory 1,2022-2023,4,271123316858,2023/02/22 00:00:00+00,11:00:00,1800 1ST AVE S,44.965425,-93.276621,478.1000(a),Snow emergency parking restrictions - snow emergency route,6,Steven's Square - Loring Heights,Central,1,3
-93.2524900003132,44.9495520002247,89,Victory 1,2022-2023,4,271123314791,2023/02/22 00:00:00+00,10:59:00,2911 BLOOMINGTON AVE,44.949552,-93.25249,478.1000(a),Snow emergency parking restrictions - snow emergency route,9,Midtown Phillips,Phillips,1,3
-93.2754030002482,44.9406329999131,90,Victory 1,2022-2023,4,271123312677,2023/02/22 00:00:00+00,10:57:00,3418 STEVENS AVE S,44.940633,-93.275403,478.1000(a),Snow emergency parking restrictions - snow emergency route,8,Lyndale,Powderhorn,1,5
-93.2754000001099,44.9402799998222,91,Victory 1,2022-2023,4,271123339794,2023/02/22 00:00:00+00,10:59:00,3434 STEVENS AVE S,44.94028,-93.2754,478.1000(a),Snow emergency parking restrictions - snow emergency route,8,Lyndale,Powderhorn,1,5
-93.2644099996217,44.9681079997844,92,Victory 1,2022-2023,4,271123344586,2023/02/22 00:00:00+00,10:59:00,710 15TH ST E,44.968108,-93.26441,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Elliot Park,Central,1,3
-93.2115439997557,44.8972739995955,93,Victory 1,2022-2023,4,271123334258,2023/02/22 00:00:00+00,10:58:00,5826 43RD AVE S,44.897274,-93.211544,478.1000(a),Snow emergency parking restrictions - snow emergency route,12,Morris Park,Nokomis,1,6
-93.252478999806,44.9494710000866,94,Victory 1,2022-2023,4,271123314790,2023/02/22 00:00:00+00,10:57:00,2911 BLOOMINGTON AVE,44.949471,-93.252479,478.1000(a),Snow emergency parking restrictions - snow emergency route,9,East Phillips,Phillips,1,3
-93.252508000244,44.9494269998562,95,Victory 1,2022-2023,4,271123310937,2023/02/22 00:00:00+00,10:57:00,2913 BLOOMINGTON AVE,44.949427,-93.252508,478.1000(a),Snow emergency parking restrictions - snow emergency route,9,Midtown Phillips,Phillips,1,3
-93.2638709999467,44.9680750000613,96,Victory 1,2022-2023,4,271123344585,2023/02/22 00:00:00+00,10:57:00,716 15TH ST E,44.968075,-93.263871,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Elliot Park,Central,1,3
-93.2753969999715,44.9409819998195,97,Victory 1,2022-2023,4,271123339793,2023/02/22 00:00:00+00,10:56:00,3410 STEVENS AVE S,44.940982,-93.275397,478.1000(a),Snow emergency parking restrictions - snow emergency route,8,Lyndale,Powderhorn,1,5
-93.2612949998643,44.9601859995843,98,Victory 1,2022-2023,4,271123311321,2023/02/22 00:00:00+00,10:57:00,2224 ELLIOT AVE S,44.960186,-93.261295,478.1000(a),Snow emergency parking restrictions - snow emergency route,6,Ventura Village,Phillips,1,3
-93.2766259999898,44.964943999566,99,Victory 1,2022-2023,4,271123316857,2023/02/22 00:00:00+00,10:56:00,1800 1ST AVE S,44.964944,-93.276626,478.1000(a),Snow emergency parking restrictions - snow emergency route,6,Steven's Square - Loring Heights,Central,1,3
-93.2115289999633,44.8973339996644,100,Victory 1,2022-2023,4,271123334257,2023/02/22 00:00:00+00,10:55:00,5824 43RD AVE S,44.897334,-93.211529,478.1000(a),Snow emergency parking restrictions - snow emergency route,12,Morris Park,Nokomis,1,6
-93.2956990000088,45.0233890004021,101,Victory 1,2022-2023,4,271123340458,2023/02/22 00:00:00+00,10:55:00,3700 FREMONT AVE N,45.023389,-93.295699,478.1000(a),Snow emergency parking restrictions - snow emergency route,4,Folwell,Camden,1,1
-93.2631849997879,44.9680679997384,102,Victory 1,2022-2023,4,271123338216,2023/02/22 00:00:00+00,10:56:00,735 15TH ST E,44.968068,-93.263185,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Elliot Park,Central,1,3
-93.2524929995522,44.9493920000408,103,Victory 1,2022-2023,4,271123310936,2023/02/22 00:00:00+00,10:55:00,2915 BLOOMINGTON AVE,44.949392,-93.252493,478.1000(a),Snow emergency parking restrictions - snow emergency route,9,Midtown Phillips,Phillips,1,3
-93.2632209996494,44.9680560000844,104,Victory 1,2022-2023,4,271123338215,2023/02/22 00:00:00+00,10:55:00,733 15TH ST E,44.968056,-93.263221,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Elliot Park,Central,1,3
-93.2629479996504,44.9680689997846,105,Victory 1,2022-2023,4,271123344584,2023/02/22 00:00:00+00,10:54:00,739 15TH ST E,44.968069,-93.262948,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Elliot Park,Central,1,3
-93.276575000336,44.9646929996823,106,Victory 1,2022-2023,4,271123316856,2023/02/22 00:00:00+00,10:54:00,1800 1ST AVE S,44.964693,-93.276575,478.1000(a),Snow emergency parking restrictions - snow emergency route,6,Steven's Square - Loring Heights,Central,1,3
-93.2628879995815,44.9680550000382,107,Victory 1,2022-2023,4,271123344583,2023/02/22 00:00:00+00,10:53:00,741 15TH ST E,44.968055,-93.262888,478.1000(a),Snow emergency parking restrictions - snow emergency route,7,Elliot Park,Central,1,3
-93.2957000000549,45.0231280000572,108,Victory 1,2022-2023,4,271123340457,2023/02/22 00:00:00+00,10:53:00,3700 FREMONT AVE N,45.023128,-93.2957,478.1000(a),Snow emergency parking restrictions - snow emergency route,4,Folwell,Camden,1,1
-93.2116080000092,44.8973620000563,109,Victory 1,2022-2023,4,271123334256,2023/02/22 00:00:00+00,10:51:00,5820 43RD AVE S,44.897362,-93.211608,478.1000(a),Snow emergency parking restrictions - snow emergency route,12,Morris Park,Nokomis,1,6
